soak start 2026-09-22T01:39:25+08:00 for 2h
iter=1 rc=0 mem=0 MB 2026-09-22T01:39:36+08:00
iter=2 rc=0 mem=0 MB 2026-09-22T01:39:45+08:00
iter=3 rc=0 mem=0 MB 2026-09-22T01:39:59+08:00
iter=4 rc=0 mem=0 MB 2026-09-22T01:40:08+08:00
iter=5 rc=0 mem=0 MB 2026-09-22T01:40:19+08:00
iter=6 rc=0 mem=0 MB 2026-09-22T01:40:28+08:00
iter=7 rc=0 mem=0 MB 2026-09-22T01:40:37+08:00
iter=8 rc=0 mem=0 MB 2026-09-22T01:40:47+08:00
iter=9 rc=0 mem=0 MB 2026-09-22T01:40:58+08:00
iter=10 rc=0 mem=0 MB 2026-09-22T01:41:08+08:00
iter=11 rc=0 mem=0 MB 2026-09-22T01:41:18+08:00
iter=12 rc=0 mem=0 MB 2026-09-22T01:41:27+08:00
iter=13 rc=0 mem=0 MB 2026-09-22T01:41:37+08:00
iter=14 rc=0 mem=0 MB 2026-09-22T01:41:46+08:00
iter=15 rc=0 mem=0 MB 2026-09-22T01:41:56+08:00
iter=16 rc=0 mem=0 MB 2026-09-22T01:42:06+08:00
iter=17 rc=0 mem=0 MB 2026-09-22T01:42:15+08:00
iter=18 rc=0 mem=0 MB 2026-09-22T01:42:25+08:00
iter=19 rc=0 mem=0 MB 2026-09-22T01:42:34+08:00
iter=20 rc=0 mem=0 MB 2026-09-22T01:42:44+08:00
iter=21 rc=0 mem=0 MB 2026-09-22T01:42:53+08:00
iter=22 rc=0 mem=0 MB 2026-09-22T01:43:02+08:00
iter=23 rc=0 mem=0 MB 2026-09-22T01:43:12+08:00
iter=24 rc=0 mem=0 MB 2026-09-22T01:43:21+08:00
iter=25 rc=0 mem=0 MB 2026-09-22T01:43:31+08:00
iter=26 rc=0 mem=0 MB 2026-09-22T01:43:40+08:00
iter=27 rc=0 mem=0 MB 2026-09-22T01:43:50+08:00
iter=28 rc=0 mem=0 MB 2026-09-22T01:43:59+08:00
iter=29 rc=0 mem=0 MB 2026-09-22T01:44:09+08:00
iter=30 rc=0 mem=0 MB 2026-09-22T01:44:19+08:00
iter=31 rc=0 mem=0 MB 2026-09-22T01:44:29+08:00
iter=32 rc=0 mem=0 MB 2026-09-22T01:44:39+08:00
iter=33 rc=0 mem=0 MB 2026-09-22T01:44:49+08:00
iter=34 rc=0 mem=0 MB 2026-09-22T01:44:58+08:00
iter=35 rc=0 mem=0 MB 2026-09-22T01:45:08+08:00
iter=36 rc=0 mem=0 MB 2026-09-22T01:45:17+08:00
iter=37 rc=0 mem=0 MB 2026-09-22T01:45:26+08:00
iter=38 rc=0 mem=0 MB 2026-09-22T01:45:36+08:00
iter=39 rc=0 mem=0 MB 2026-09-22T01:45:48+08:00
iter=40 rc=0 mem=0 MB 2026-09-22T01:45:57+08:00
iter=41 rc=0 mem=0 MB 2026-09-22T01:46:07+08:00
iter=42 rc=0 mem=0 MB 2026-09-22T01:46:17+08:00
iter=43 rc=0 mem=0 MB 2026-09-22T01:46:26+08:00
iter=44 rc=0 mem=0 MB 2026-09-22T01:46:38+08:00
iter=45 rc=0 mem=0 MB 2026-09-22T01:46:48+08:00
iter=46 rc=0 mem=0 MB 2026-09-22T01:46:57+08:00
iter=47 rc=0 mem=0 MB 2026-09-22T01:47:07+08:00
iter=48 rc=0 mem=0 MB 2026-09-22T01:47:18+08:00
iter=49 rc=0 mem=0 MB 2026-09-22T01:47:28+08:00
iter=50 rc=0 mem=0 MB 2026-09-22T01:47:37+08:00
iter=51 rc=0 mem=0 MB 2026-09-22T01:47:47+08:00
iter=52 rc=0 mem=0 MB 2026-09-22T01:47:56+08:00
iter=53 rc=0 mem=0 MB 2026-09-22T01:48:06+08:00
iter=54 rc=0 mem=0 MB 2026-09-22T01:48:15+08:00
iter=55 rc=0 mem=0 MB 2026-09-22T01:48:27+08:00
